Brand,Type,Date of production,Type of fuel,Rolling mill,Cylinders,Engine size (cm?),Gearbox,Fuel consumption (l),Power (HP),Price (Ft)
Audi,A1,2010,Gasoline,Serial,4,1390,Manual,5.3,122,5824750
Audi,A1,2012,Gasoline,Serial,4,1197,Manual,5.1,86,4574770
Audi,A1,2014,Gasoline,Serial,4,1390,Manual,4.9,140,6021300
Audi,A1,2015,Gasoline,Serial,3,999,Manual,4.2,95,5330740
Audi,A1,2015,Gasoline,Serial,4,1395,Manual,5.1,125,6183860
Audi,A1,2015,Gasoline,Serial,4,1395,Manual,4.7,150,7458940
Audi,A1,2019,Gasoline,Serial,3,1422,Manual,3.6,90,6454370
Audi,A1,2019,Gasoline,Serial,3,999,Manual,,95,6500000
Audi,A1,2020,Gasoline,Serial,4,1498,Automatic,4.8,150,6400000
Audi,A1,2022,Gasoline,Serial,3,999,Automatic,5.5,110,7797080
Audi,A2,2000,Gasoline,Serial,4,1390,Manual,6.0,75,4840000
Audi,A2,2002,Gasoline,Serial,4,1390,Manual,6.0,75,5112000
Audi,A2,2001,Diesel,Serial,3,1191,Automatic,3.0,61,5424000
Audi,A2,2000,Diesel,Serial,3,1422,Manual,4.3,75,5417000
Audi,A2,2002,Diesel,Serial,3,1422,Manual,4.3,75,5674000
Audi,A2,2002,Gasoline,Serial,4,1598,Manual,5.9,110,5800000
Audi,A2,2003,Diesel,Serial,3,1422,Manual,4.3,90,5700000
Audi,A3,1998,Gasoline,Serial,4,1595,Automatic,4.6,101,5240000
Audi,A3,1999,Gasoline,Serial,4,1781,Manual,8.9,180,9431000
Audi,A3,2001,Gasoline,Serial,4,1781,Automatic,8.9,150,6545000
Audi,A3,2001,Diesel,Serial,4,1896,Manual,5.0,101,6476000
Audi,A3,2007,Gasoline,Serial,4,1798,Manual,7.1,160,6849000
Audi,A3,2008,Diesel,Serial,4,1968,Manual,5.1,140,7769000
Audi,A3,2010,Diesel,Serial,4,1968,Manual,4.4,140,7709280
Audi,A3,2013,Gasoline,Serial,4,1798,Automatic,6.6,180,9244710
Audi,A3,2014,Diesel,Serial,4,1968,Manual,4.7,150,9350120
Audi,A3,2017,Gasoline,Serial,4,1498,Manual,5.2,150,6642010
Audi,A3,2018,Gasoline,Serial,3,999,Automatic,5.3,116,8358420
Audi,A3,2021,Gasoline,Serial,4,1498,Automatic,,131,12001300
Audi,A3,2022,Gasoline,Serial,4,1984,Automatic,6.6,190,14026730
Audi,A4,1995,Gasoline,Serial,4,1781,Automatic,9.1,101,7453000
Audi,A4,1999,Diesel,V,6,2496,Automatic,8.5,150,12345000
Audi,A4,2001,Diesel,Serial,4,1896,Manual,5.7,150,8265000
Audi,A4,2006,Diesel,V,6,2976,Automatic,8.3,131,12820000
Audi,A4,2009,Diesel,Serial,4,1968,Manual,4.9,233,9009250
Audi,A4,2011,Diesel,Serial,4,1968,Automatic,4.8,136,9032620
Audi,A4,2014,Gasoline,V,6,2995,,7.5,143,12842190
Audi,A4,2015,Diesel,V,6,2967,Automatic,4.2,272,13400610
Audi,A4,2018,Gasoline,Serial,4,1984,Automatic,5.9,218,11457520
Audi,A4,1998,Gasoline,Serial,4,1595,Manual,7.9,190,5528000
Audi,A5,2008,Gasoline,Serial,4,1984,Manual,6.6,211,12015000
Audi,A5,2011,Diesel,Serial,4,1968,Automatic,4.7,177,11744070
Audi,A5,2013,Gasoline,Serial,4,1984,Manual,5.9,224,11631510
Audi,A5,2015,Gasoline,Serial,4,1798,Manual,5.5,177,10634090
Audi,A5,2014,Diesel,Serial,4,1968,Manual,4.9,190,11822810
Audi,A5,2016,Diesel,Serial,4,1968,Manual,4.4,190,13091540
Audi,A5,2017,Diesel,Serial,4,1968,Manual,4.6,150,12495910
Audi,A5,2019,Gasoline,V,6,2894,Automatic,9.0,450,26137820
Audi,A5,2020,Gasoline,Serial,4,1984,Automatic,6.8,245,17220780
Audi,A5,2020,Diesel,Serial,4,1968,Automatic,4.8,204,14192050
BMW,1,2004,Gasoline,Serial,4,1596,Manual,7.5,116,5515000
BMW,1,2012,Diesel,Serial,4,1995,Automatic,4.4,184,8634900
BMW,1,2015,Gasoline,Serial,3,1499,Automatic,4.8,136,8714800
BMW,1,2015,Diesel,Serial,3,1496,Manual,3.4,116,8568000
BMW,1,2016,Gasoline,Serial,4,1998,Manual,5.7,184,9342000
BMW,1,2017,Gasoline,Serial,6,2998,Automatic,7.1,340,13844100
BMW,1,2012,Diesel,Serial,4,1598,Manual,4.1,95,10000000
BMW,1,2018,Gasoline,Serial,3,1499,Manual,6.0,136,8925000
BMW,1,2018,Diesel,Serial,4,1995,Automatic,5.2,190,11449000
BMW,1,2020,Gasoline,Serial,4,1998,Automatic,6.4,265,13277000
BMW,2,2013,Gasoline,Serial,4,1997,Manual,6.1,184,8499000
BMW,2,2015,Diesel,Serial,4,1995,Automatic,4.3,224,12167000
BMW,2,2015,Gasoline,Serial,3,1499,Automatic,5.3,136,11341800
BMW,2,2015,Diesel,Serial,3,1496,Manual,3.9,95,8937900
BMW,2,2015,Gasoline,Serial,3,1499,Manual,5.1,102,8122000
BMW,2,2017,Diesel,Serial,4,1995,Manual,4.1,190,11124000
BMW,2,2018,Diesel,Serial,4,1995,Manual,5.1,150,11641000
BMW,2,2018,Diesel,Serial,4,1995,Automatic,4.8,150,12342400
BMW,2,2019,Gasoline,Serial,3,1499,Manual,,140,8980000
BMW,2,2022,Gasoline,Serial,6,2993,Manual,,460,27918900
BMW,3,1994,Gasoline,Serial,4,1596,Manual,7.7,102,4835000
BMW,3,2007,Gasoline,Serial,6,2979,Manual,9.3,306,13583000
BMW,3,2010,Diesel,Serial,6,2993,Manual,6.5,245,14046000
BMW,3,2015,Diesel,Serial,4,1995,Manual,5.1,218,13765000
BMW,3,2015,Gasoline,Serial,6,2998,Automatic,6.8,326,15460000
BMW,3,2016,Diesel,Serial,4,1995,Automatic,4.7,224,15571000
BMW,3,2017,Gasoline,Serial,3,1499,Manual,5.4,136,11950000
BMW,3,2018,Gasoline,Serial,4,1998,Automatic,6.7,184,14869000
BMW,3,2023,Gasoline,Serial,6,2993,Automatic,,551,58000000
BMW,3,2019,Diesel,Serial,4,1995,Automatic,4.7,150,12348100
BMW,4,2014,Gasoline,Serial,4,1997,Manual,6.4,184,10998000
BMW,4,2015,Diesel,Serial,6,2993,Automatic,5.4,313,17590000
BMW,4,2015,Gasoline,Serial,6,2979,Automatic,7.8,306,17890500
BMW,4,2016,Diesel,Serial,4,1995,Automatic,4.4,224,13849500
BMW,4,2016,Diesel,Serial,4,1995,Automatic,4.6,224,15557500
BMW,4,2017,Gasoline,Serial,4,1998,Manual,5.8,184,11691000
BMW,4,2018,Gasoline,Serial,6,2998,Automatic,6.6,326,17267000
BMW,4,2018,Diesel,Serial,4,1995,Automatic,4.8,190,15574000
BMW,4,2020,Gasoline,Serial,4,1998,Automatic,5.8,184,13676000
BMW,4,2024,Diesel,Serial,6,2993,Automatic,,340,27740000
BMW,5,1994,Gasoline,Serial,4,1796,Manual,,116,6400000
BMW,5,1995,Gasoline,Serial,6,1991,Automatic,10.2,150,11174000
BMW,5,1997,Gasoline,Serial,6,2494,Automatic,10.7,170,12767000
BMW,5,2005,Diesel,Serial,4,1995,Manual,5.9,163,9800000
BMW,5,2007,Gasoline,V,8,4799,Automatic,10.3,367,21814100
BMW,5,2011,Diesel,Serial,6,2993,Automatic,5.3,258,14973800
BMW,5,2013,Gasoline,Serial,4,1997,Manual,7.0,245,14029000
BMW,5,2016,Diesel,Serial,6,2993,Automatic,5.0,265,17507000
BMW,5,2019,Gasoline,Serial,6,2998,Automatic,8.0,340,19614000
BMW,5,2024,Diesel,Serial,4,1995,Automatic,,197,26095000
Mercedes,A,1997,Gasoline,Serial,4,1397,Manual,6.8,82,3945000
Mercedes,A,2004,Gasoline,Serial,4,1498,Automatic,6.2,95,6066000
Mercedes,A,2008,Gasoline,Serial,4,1498,Automatic,6.2,95,6267400
Mercedes,A,2011,Gasoline,Serial,4,1699,Manual,6.8,116,6996810
Mercedes,A,2008,Diesel,Serial,4,1991,Manual,5.4,140,7446750
Mercedes,A,2015,Diesel,Serial,4,2143,Manual,4.1,136,8401900
Mercedes,A,2015,Diesel,Serial,4,2143,Automatic,4.1,177,10888560
Mercedes,A,2018,Gasoline,Serial,4,1332,Manual,5.8,136,9136610
Mercedes,A,2019,Diesel,Serial,4,1461,Manual,4.3,95,10028150
Mercedes,A,2022,Gasoline,Serial,4,1332,Automatic,,163,19512000
Mercedes,B,2005,Gasoline,Serial,4,1498,Manual,6.8,95,6253000
Mercedes,B,2009,Gasoline,Serial,4,1699,Manual,7.1,116,7411750
Mercedes,B,2008,Diesel,Serial,4,1991,Automatic,6.3,140,9326750
Mercedes,B,2012,Diesel,Serial,4,2143,,4.6,170,9883990
Mercedes,B,2014,Diesel,Serial,4,1461,,3.6,109,9151850
Mercedes,B,2014,Gasoline,Serial,4,1595,Manual,5.8,122,7223670
Mercedes,B,2014,Diesel,Serial,4,1461,Manual,4.4,109,8596860
Mercedes,B,2019,Diesel,Serial,4,1461,Manual,4.3,116,9297900
Mercedes,B,2020,Diesel,Serial,4,1950,Automatic,5.1,116,13036040
Mercedes,B,2022,Gasoline,Serial,4,1332,Automatic,,163,18161000
Mercedes,C,1996,Gasoline,Serial,4,1799,Manual,,122,6313000
Mercedes,C,1996,Gasoline,Serial,4,1998,Manual,,136,8093750
Mercedes,C,2002,Gasoline,Serial,4,1796,Automatic,8.2,143,9047250
Mercedes,C,2001,Gasoline,V,6,2597,Manual,11.6,170,10411000
Mercedes,C,2004,Diesel,Serial,4,2148,Automatic,6.6,122,9878200
Mercedes,C,2007,Gasoline,V,6,2996,Automatic,9.6,231,13961600
Mercedes,C,2007,Gasoline,Serial,4,1796,Automatic,8.7,184,11064250
Mercedes,C,2011,Diesel,Serial,4,2143,Manual,5.1,170,11518480
Mercedes,C,2015,Gasoline,Serial,4,1991,Automatic,7.0,245,12643700
Mercedes,C,2021,Gasoline,Serial,4,1991,Automatic,6.6,258,19881000
Mercedes,E,1993,Gasoline,Serial,4,1997,Manual,,136,9581000
Mercedes,E,1999,Gasoline,Serial,4,1998,Manual,9.9,186,11836625
Mercedes,E,1999,Diesel,Serial,5,2685,Automatic,7.5,170,14174125
Mercedes,E,2003,Diesel,Serial,5,2685,Manual,7.1,177,12544000
Mercedes,E,2006,Diesel,Serial,4,2148,Automatic,7.3,170,14744800
Mercedes,E,2009,Gasoline,V,8,5461,Automatic,11.2,388,21457000
Mercedes,E,2013,Gasoline,V,6,3498,Automatic,7.0,252,15265350
Mercedes,E,2014,Diesel,Serial,4,2143,Automatic,4.9,170,14651570
Mercedes,E,2016,Gasoline,V,6,3498,Automatic,7.9,333,19869100
Mercedes,E,2023,Diesel,Serial,4,1993,Automatic,,197,30383000
Mercedes,G,1993,Gasoline,Serial,4,2299,Manual,,122,7424000
Mercedes,G,1994,Gasoline,Serial,6,3199,Automatic,14.4,211,17376250
Mercedes,G,2007,Diesel,V,6,2987,Automatic,11.5,224,22860000
Mercedes,G,2000,Diesel,V,8,3996,Automatic,12.8,250,23986250
Mercedes,G,2011,Gasoline,V,8,5461,Automatic,14.7,388,31629300
Mercedes,G,2015,Diesel,V,6,2987,Automatic,9.9,245,28605050
Mercedes,G,2015,Gasoline,V,12,5980,Automatic,17.0,630,88042700
Mercedes,G,2018,Gasoline,V,8,3982,Automatic,13.1,585,50565000
Mercedes,G,2020,Diesel,Serial,6,2925,Automatic,9.6,330,39625000
Mercedes,G,2007,Gasoline,V,8,5439,Automatic,15.9,500,40943250
